country,region,infant_mortality,life_expectancy,maternal_mortality
Somalia,Africa,81.5,56.5,563
Central African Republic,Africa,79.3,56.4,692
Equatorial Guinea,Africa,76.9,63.9,174
Sierra Leone,Africa,70.1,59.4,354
Nigeria,Africa,65.6,62.2,993
Niger,Africa,63,60.9,350
Chad,Africa,61.1,60,748
South Sudan,Africa,58.6,60.3,692
Mozambique,Africa,56.7,58.3,82
Mali,Africa,55.8,63.2,367
"Congo, Democratic Republic of the",Africa,55.8,62.6,427
Liberia,Africa,55.2,61.6,628
Comoros,Africa,53.9,67.8,179
Cote d'Ivoire,Africa,52.3,63.2,359
Lesotho,Africa,52.2,60.2,478
Benin,Africa,51.6,63,518
Pakistan,South Asia,50.3,70.3,155
Burkina Faso,Africa,48,64.2,242
Angola,Africa,46.1,62.9,183
Guinea,Africa,45.8,64.6,494
Guinea-Bissau,Africa,45.1,64.5,505
Cameroon,Africa,44.6,64.2,258
Djibouti,Africa,44.3,65.9,162
Yemen,Middle East,42.4,68.2,118
Afghanistan,South Asia,42,54.4,521
Timor-Leste,East and Southeast Asia,41.9,70.5,192
Sao Tome and Principe,Africa,41.7,67.7,75
Sudan,Africa,39.7,67.8,256
Eritrea,Africa,39,67.5,291
Madagascar,Africa,38.4,68.8,445
Eswatini,Africa,38,60.7,118
Burundi,Africa,35.3,68.1,392
Haiti,Central America and the Caribbean,35,65.6,328
"Gambia, The",Africa,35,68.4,354
Turkmenistan,Central Asia,35,72.4,5
Togo,Africa,34.5,72.1,349
Laos,East and Southeast Asia,34.2,69,112
Zimbabwe,Africa,32.8,67.2,358
Papua New Guinea,East and Southeast Asia,31.3,70.1,189
Ethiopia,Africa,31.3,67.7,195
Kiribati,Australia and Oceania,30.8,68.5,80
Burma,East and Southeast Asia,30.8,70.3,185
Ghana,Africa,30.5,70.1,234
India,South Asia,30.5,68.2,80
Senegal,Africa,30.4,70.6,237
Zambia,Africa,30.1,66.9,85
Mauritania,Africa,29.9,65.9,381
"Congo, Republic of the",Africa,29.9,72.9,241
Suriname,South America,29.3,72.7,84
Malawi,Africa,28.9,73,225
Tanzania,Africa,28.4,70.8,276
Botswana,Africa,27.8,66.4,155
Uganda,Africa,27.5,69.7,170
Rwanda,Africa,27.4,66.6,229
Cambodia,East and Southeast Asia,27.2,71.4,137
Tuvalu,Australia and Oceania,27.2,69,170
Namibia,Africa,27.1,65.9,139
Kenya,Africa,26.8,70.4,379
Gabon,Africa,26,70.4,233
Kyrgyzstan,Central Asia,24,72.9,42
Maldives,South Asia,23.7,77.4,32
Guatemala,Central America and the Caribbean,23.4,73.5,94
Nepal,South Asia,23.4,73,142
Bhutan,South Asia,23,73.7,47
Bolivia,South America,22.1,72.5,146
Bangladesh,South Asia,22,75.2,115
Cabo Verde,Africa,21.9,74.3,40
